question,a,b,c,d,correct
What is 1 + 1?,1,2,3,4,b
What is 2 + 3?,4,5,6,7,b
What is 5 + 5?,9,10,11,12,b
What is 4 + 7?,10,11,12,13,b
What is 6 + 2?,7,8,9,10,b
What is 3 + 6?,7,8,9,10,c
What is 7 + 1?,7,8,9,10,b
What is 8 + 5?,12,13,14,15,c
What is 9 + 6?,14,15,16,17,b
What is 10 + 4?,13,14,15,16,c
What is 11 + 7?,16,17,18,19,c
What is 12 + 8?,19,20,21,22,b
What is 13 + 5?,17,18,19,20,c
What is 14 + 9?,22,23,24,25,b
What is 15 + 4?,18,19,20,21,b
What is 16 + 6?,21,22,23,24,c
What is 17 + 3?,19,20,21,22,c
What is 18 + 7?,24,25,26,27,b
What is 19 + 5?,23,24,25,26,c
What is 20 + 2?,21,22,23,24,c
What is 21 + 8?,28,29,30,31,b
What is 22 + 6?,27,28,29,30,c
What is 23 + 7?,29,30,31,32,c
What is 24 + 4?,27,28,29,30,c
What is 25 + 5?,29,30,31,32,b
What is 26 + 3?,28,29,30,31,c
What is 27 + 6?,32,33,34,35,b
What is 28 + 2?,29,30,31,32,b
What is 29 + 8?,36,37,38,39,a
What is 30 + 1?,30,31,32,33,b
What is 31 + 5?,35,36,37,38,a
What is 32 + 4?,34,35,36,37,c
What is 33 + 7?,38,39,40,41,b
What is 34 + 3?,36,37,38,39,b
What is 35 + 6?,40,41,42,43,b
What is 36 + 2?,37,38,39,40,c
What is 37 + 5?,41,42,43,44,a
What is 38 + 1?,38,39,40,41,b
What is 39 + 4?,42,43,44,45,b
What is 40 + 7?,46,47,48,49,c
What is 41 + 3?,43,44,45,46,b
What is 42 + 6?,47,48,49,50,b
What is 43 + 2?,44,45,46,47,b
What is 44 + 5?,48,49,50,51,c
What is 45 + 1?,45,46,47,48,b
What is 46 + 4?,49,50,51,52,b
What is 47 + 7?,53,54,55,56,a
What is 48 + 3?,50,51,52,53,b
What is 49 + 6?,54,55,56,57,a
What is 50 + 2?,51,52,53,54,b
What is 51 + 5?,55,56,57,58,a
What is 52 + 1?,52,53,54,55,b
What is 53 + 4?,56,57,58,59,b
What is 54 + 7?,60,61,62,63,a
What is 55 + 3?,57,58,59,60,b
What is 56 + 6?,61,62,63,64,a
What is 57 + 2?,58,59,60,61,b
What is 58 + 5?,62,63,64,65,a
What is 59 + 1?,59,60,61,62,b
What is 60 + 4?,63,64,65,66,b
What is 61 + 7?,67,68,69,70,a
What is 62 + 3?,64,65,66,67,b
What is 63 + 6?,68,69,70,71,a
What is 64 + 2?,65,66,67,68,b
What is 65 + 5?,69,70,71,72,a
What is 66 + 1?,66,67,68,69,b
What is 67 + 4?,70,71,72,73,b
What is 68 + 7?,74,75,76,77,a
What is 69 + 3?,71,72,73,74,b
What is 70 + 6?,75,76,77,78,a
What is 71 + 2?,72,73,74,75,b
What is 72 + 5?,76,77,78,79,a
What is 73 + 1?,73,74,75,76,b
What is 74 + 4?,77,78,79,80,b
What is 75 + 7?,82,81,80,79,a
What is 76 + 3?,79,80,81,82,b
What is 77 + 6?,82,83,84,85,a
What is 78 + 2?,79,80,81,82,b
What is 79 + 5?,83,84,85,86,a
What is 80 + 1?,80,81,82,83,b
What is 81 + 4?,83,84,85,86,b
What is 82 + 7?,88,89,90,91,a
What is 83 + 3?,85,86,87,88,b
What is 84 + 6?,89,90,91,92,a
What is 85 + 2?,87,88,89,90,b
What is 86 + 5?,90,91,92,93,a
What is 87 + 1?,87,88,89,90,b
What is 88 + 4?,91,92,93,94,b
What is 89 + 7?,95,96,97,98,a
What is 90 + 3?,92,93,94,95,b
What is 91 + 6?,96,97,98,99,a
What is 92 + 2?,94,95,96,97,b
What is 93 + 5?,97,98,99,100,a
What is 94 + 1?,94,95,96,97,b
What is 95 + 4?,98,99,100,101,b
What is 96 + 7?,103,102,101,100,a
What is 97 + 3?,100,101,102,103,b
What is 98 + 6?,104,105,106,107,a
What is 99 + 2?,101,102,103,104,b
What is 100 + 5?,104,105,106,107,a
